date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:03	65676/65676	---M--	200	added ('OK')	image/jpeg	etag:%226d243ab9ea37d71:0%22	http://ueb.edu.vn//Uploads/Adv/z2449906832811_f1781aa656ef69c373818949d117c739.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/Adv/z2449906832811_f1781aa656ef69c373818949d117c739.jpg	(from http://ueb.vnu.edu.vn/)
18:49:04	51911/51911	---M--	200	added ('OK')	image/jpeg	etag:%22498831ea35fd71:0%22	http://ueb.edu.vn//Uploads/Adv/01_Banner%20289x100/TS%20Dai%20hoc.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/Adv/01_Banner%20289x100/TS%20Dai%20hoc.jpg	(from http://ueb.vnu.edu.vn/)
18:49:07	172848/172848	---M--	200	added ('OK')	image/jpeg	etag:%2298ead1821bbd71:0%22	http://ueb.edu.vn//Uploads/Adv/Banner%20TS%20SDH.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/Adv/Banner%20TS%20SDH.jpg	(from http://ueb.vnu.edu.vn/)
18:49:08	4198/4198	---M--	200	added ('OK')	image/jpeg	etag:%224979fd66a686d21:0%22	http://ueb.edu.vn/images/tintuc.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/images/tintuc.jpg	(from http://ueb.vnu.edu.vn/)
18:49:08	867/867	---M--	200	added ('OK')	text/css	etag:%2230d0287c811ed41:0%22	http://ueb.vnu.edu.vn/css/jQueryPagination.css	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/css/jQueryPagination.css	(from http://ueb.vnu.edu.vn/)
18:49:10	44147/44147	---M--	200	added ('OK')	image/jpeg	etag:%222a4b24136fd71:0%22	http://ueb.edu.vn//Uploads/Adv/01_Banner%20289x100/TS%20sau%20DH.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/Adv/01_Banner%20289x100/TS%20sau%20DH.jpg	(from http://ueb.vnu.edu.vn/)
18:49:13	57666/57666	---M--	200	added ('OK')	image/jpeg	etag:%22ef7702699d2d61:0%22	http://ueb.edu.vn//Uploads/Adv/01_Banner%20tuyen%20sinh/TS%20lien%20ket346x150.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/Adv/01_Banner%20tuyen%20sinh/TS%20lien%20ket346x150.jpg	(from http://ueb.vnu.edu.vn/)
18:49:44	219871/219871	---M--	200	added ('OK')	image/jpeg	etag:%2293763c884cead71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails06502021095025.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails06502021095025.jpg	(from http://ueb.vnu.edu.vn/)
18:50:06	571385/571385	---M--	200	added ('OK')	image/jpeg	etag:%228041adf2bf8fcf1:0%22	http://ueb.vnu.edu.vn/images/timkiem.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.vnu.edu.vn/images/timkiem.jpg	(from http://ueb.vnu.edu.vn/)
18:50:21	226179/226179	---M--	200	added ('OK')	image/jpeg	etag:%222adec5b119e8d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails03452021024508.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails03452021024508.jpg	(from http://ueb.vnu.edu.vn/)
